transaction_date,source,product_name,transaction_type,amount,net_amount,year,month,month_name,year_month
2024-11-03,TCGplayer,,Sale,29.33,29.33,2024,11,Nov,2024-11
2024-11-03,TCGplayer,,Return,2.41,-2.41,2024,11,Nov,2024-11
2024-11-03,TCGplayer,,Sale,17.52,17.52,2024,11,Nov,2024-11
2024-11-05,TCGplayer,,Sale,46.62,46.62,2024,11,Nov,2024-11
2024-11-08,TCGplayer,,Sale,28.23,28.23,2024,11,Nov,2024-11
2024-11-08,TCGplayer,,Sale,32.69,32.69,2024,11,Nov,2024-11
2024-11-13,TCGplayer,,Sale,24.03,24.03,2024,11,Nov,2024-11
2024-11-17,TCGplayer,,Sale,41.68,41.68,2024,11,Nov,2024-11
2024-11-20,TCGplayer,,Sale,11.94,11.94,2024,11,Nov,2024-11
2024-11-20,TCGplayer,,Return,7.91,-7.91,2024,11,Nov,2024-11
2024-11-20,TCGplayer,,Sale,18.98,18.98,2024,11,Nov,2024-11
2024-11-21,TCGplayer,,Return,20.02,-20.02,2024,11,Nov,2024-11
2024-11-23,Best Buy,Pokemon TCG: S&V Shrouded Fable Elite Trainer Box,Sale,32.99,32.99,2024,11,Nov,2024-11
2024-12-02,TCGplayer,,Sale,18.34,18.34,2024,12,Dec,2024-12
2024-12-03,TCGplayer,,Sale,66.87,66.87,2024,12,Dec,2024-12
2024-12-09,TCGplayer,,Sale,17.04,17.04,2024,12,Dec,2024-12
2024-12-09,TCGplayer,,Sale,17.89,17.89,2024,12,Dec,2024-12
2024-12-22,TCGplayer,,Sale,10.23,10.23,2024,12,Dec,2024-12
2025-01-08,TCGplayer,,Sale,26.02,26.02,2025,1,Jan,2025-01
2025-01-08,TCGplayer,,Sale,87.15,87.15,2025,1,Jan,2025-01
2025-01-08,TCGplayer,,Sale,5.63,5.63,2025,1,Jan,2025-01
2025-01-11,TCGplayer,,Sale,23.04,23.04,2025,1,Jan,2025-01
2025-01-14,TCGplayer,,Sale,62.09,62.09,2025,1,Jan,2025-01
2025-01-15,TCGplayer,,Sale,28.75,28.75,2025,1,Jan,2025-01
2025-01-15,TCGplayer,,Sale,6.96,6.96,2025,1,Jan,2025-01
2025-01-15,TCGplayer,,Sale,6.37,6.37,2025,1,Jan,2025-01
2025-01-17,TCGplayer,,Sale,32.09,32.09,2025,1,Jan,2025-01
2025-01-20,TCGplayer,,Sale,27.65,27.65,2025,1,Jan,2025-01
2025-01-25,TCGplayer,,Sale,32.28,32.28,2025,1,Jan,2025-01
2025-01-26,TCGplayer,,Sale,38.23,38.23,2025,1,Jan,2025-01
2025-01-26,TCGplayer,,Sale,29.44,29.44,2025,1,Jan,2025-01
2025-01-28,TCGplayer,,Sale,46.0,46.0,2025,1,Jan,2025-01
2025-02-03,TCGplayer,,Sale,31.56,31.56,2025,2,Feb,2025-02
2025-02-04,TCGplayer,,Sale,70.6,70.6,2025,2,Feb,2025-02
2025-02-06,TCGplayer,,Sale,18.26,18.26,2025,2,Feb,2025-02
2025-02-08,TCGplayer,,Return,0.37,-0.37,2025,2,Feb,2025-02
2025-02-22,TCGplayer,,Sale,74.89,74.89,2025,2,Feb,2025-02
2025-05-12,TCGplayer,,Sale,23.12,23.12,2025,5,May,2025-05
2025-05-12,TCGplayer,,Sale,5.39,5.39,2025,5,May,2025-05
2025-05-12,TCGplayer,,Sale,46.46,46.46,2025,5,May,2025-05
2025-05-21,TCGplayer,,Sale,36.85,36.85,2025,5,May,2025-05
2025-05-21,TCGplayer,,Sale,25.53,25.53,2025,5,May,2025-05
2025-05-21,TCGplayer,,Return,4.8,-4.8,2025,5,May,2025-05
2025-05-22,TCGplayer,,Sale,17.57,17.57,2025,5,May,2025-05
2025-05-24,TCGplayer,,Sale,23.53,23.53,2025,5,May,2025-05
2025-07-07,TCGplayer,,Sale,27.81,27.81,2025,7,Jul,2025-07
2025-07-11,TCGplayer,,Sale,57.3,57.3,2025,7,Jul,2025-07
2025-07-29,TCGplayer,,Return,15.79,-15.79,2025,7,Jul,2025-07
2025-08-09,TCGplayer,,Sale,33.29,33.29,2025,8,Aug,2025-08
2025-10-29,TCGplayer,,Sale,34.24,34.24,2025,10,Oct,2025-10
2026-04-01,TCGplayer,,Sale,8.88,8.88,2026,4,Apr,2026-04
2026-04-11,TCGplayer,,Sale,5.37,5.37,2026,4,Apr,2026-04
2026-04-12,TCGplayer,,Return,0.05,-0.05,2026,4,Apr,2026-04
2026-04-22,TCGplayer,,Sale,91.03,91.03,2026,4,Apr,2026-04
2026-04-30,TCGplayer,,Sale,41.71,41.71,2026,4,Apr,2026-04
2026-05-03,TCGplayer,,Sale,13.35,13.35,2026,5,May,2026-05
2026-05-03,TCGplayer,,Sale,22.9,22.9,2026,5,May,2026-05
2026-05-06,TCGplayer,,Sale,22.95,22.95,2026,5,May,2026-05
2026-05-06,TCGplayer,,Sale,33.61,33.61,2026,5,May,2026-05
2026-05-11,TCGplayer,,Sale,26.86,26.86,2026,5,May,2026-05
2026-05-12,TCGplayer,,Sale,23.09,23.09,2026,5,May,2026-05
2026-05-15,TCGplayer,,Sale,47.06,47.06,2026,5,May,2026-05
2026-05-16,TCGplayer,,Sale,47.08,47.08,2026,5,May,2026-05
2026-05-25,TCGplayer,,Sale,10.92,10.92,2026,5,May,2026-05
2026-05-25,TCGplayer,,Sale,18.67,18.67,2026,5,May,2026-05
2026-05-29,TCGplayer,,Sale,72.12,72.12,2026,5,May,2026-05
2026-05-29,TCGplayer,,Sale,10.54,10.54,2026,5,May,2026-05
2026-05-30,TCGplayer,,Sale,22.15,22.15,2026,5,May,2026-05
2026-05-30,TCGplayer,,Sale,6.58,6.58,2026,5,May,2026-05
2026-05-30,TCGplayer,,Sale,6.1,6.1,2026,5,May,2026-05
2026-05-30,TCGplayer,,Sale,23.37,23.37,2026,5,May,2026-05
2026-06-11,TCGplayer,,Sale,22.98,22.98,2026,6,Jun,2026-06
2026-06-16,TCGplayer,,Sale,10.42,10.42,2026,6,Jun,2026-06
2026-06-17,TCGplayer,,Return,2.96,-2.96,2026,6,Jun,2026-06
